date,state,amount
2020-06-14,Recovered,7455570
2020-06-15,Confirmed,16579378
2020-06-15,Deaths,2243525
2020-06-15,Recovered,7632580
2020-06-16,Confirmed,16816878
2020-06-16,Deaths,2277930
2020-06-16,Recovered,7811106
2020-06-17,Confirmed,16816878
2020-06-17,Deaths,2277930
2020-06-17,Recovered,7811106
2020-06-18,Confirmed,17055037
2020-06-18,Deaths,2312444
2020-06-18,Recovered,7991650
2020-06-19,Confirmed,17055037
2020-06-19,Deaths,2312444
2020-06-19,Recovered,7991650
2020-06-20,Confirmed,17055037
2020-06-20,Deaths,2312444
2020-06-20,Recovered,7991650
2020-06-21,Confirmed,17293536
2020-06-21,Deaths,2347078
2020-06-21,Recovered,8174543
2020-06-22,Confirmed,17293536
2020-06-22,Deaths,2347078
2020-06-22,Recovered,8174543
2020-06-23,Confirmed,17293536
2020-06-23,Deaths,2347078
2020-06-23,Recovered,8174543
2020-06-24,Confirmed,17293536
2020-06-24,Deaths,2347078
2020-06-24,Recovered,8174543
2020-06-25,Confirmed,17293536
2020-06-25,Deaths,2347078
2020-06-25,Recovered,8174543
2020-06-26,Confirmed,17533497
2020-06-26,Deaths,2381786
2020-06-26,Recovered,8362158
2020-06-27,Confirmed,17773633
2020-06-27,Deaths,2416502
2020-06-27,Recovered,8550742
2020-06-28,Confirmed,17773633
2020-06-28,Deaths,2416502
2020-06-28,Recovered,8550742
2020-06-29,Confirmed,18014069
2020-06-29,Deaths,2451246
2020-06-29,Recovered,8739938
2020-06-30,Confirmed,18014069
2020-06-30,Deaths,2451246
2020-06-30,Recovered,8739938
2020-07-01,Confirmed,18014069
2020-07-01,Deaths,2451246
2020-07-01,Recovered,8739938
2020-07-02,Confirmed,18255030
2020-07-02,Deaths,2486064
2020-07-02,Recovered,8931021
2020-07-03,Confirmed,18255030
2020-07-03,Deaths,2486064
2020-07-03,Recovered,8931021
2020-07-04,Confirmed,18255030
2020-07-04,Deaths,2486064
2020-07-04,Recovered,8931021
2020-07-05,Confirmed,18255030
2020-07-05,Deaths,2486064
2020-07-05,Recovered,8931021
2020-07-06,Confirmed,18255030
2020-07-06,Deaths,2486064
2020-07-06,Recovered,8931021
2020-07-07,Confirmed,18255030
2020-07-07,Deaths,2486064
2020-07-07,Recovered,8931021
2020-07-08,Confirmed,18255030
2020-07-08,Deaths,2486064
2020-07-08,Recovered,8931021
2020-07-09,Confirmed,18255030
2020-07-09,Deaths,2486064
2020-07-09,Recovered,8931021
2020-07-10,Confirmed,18255030
2020-07-10,Deaths,2486064
2020-07-10,Recovered,8931021
2020-07-11,Confirmed,18255030
2020-07-11,Deaths,2486064
2020-07-11,Recovered,8931021
2020-07-12,Confirmed,18255030
2020-07-12,Deaths,2486064
2020-07-12,Recovered,8931021
2020-07-13,Confirmed,18255030
2020-07-13,Deaths,2486064
2020-07-13,Recovered,8931021
